type,manufacturer,model,yom,price,date
Registered,suzuki,WAGON R FX,2019,4650000,9/1/2022
Registered,suzuki,WAGON R FX,2019,4350000,10/1/2022
Registered,suzuki,WAGON R FX,2019,4300000,11/1/2022
Registered,suzuki,WAGON R FX,2019,4275000,12/1/2022
Registered,suzuki,WAGON R FX,2019,4225000,1/1/2023
Registered,suzuki,WAGON R FX,2019,4250000,2/1/2023
Registered,suzuki,WAGON R FX,2019,4350000,3/1/2023
Registered,suzuki,WAGON R FX,2019,4325000,4/1/2023
Registered,suzuki,WAGON R FX,2019,4275000,5/1/2023
Registered,suzuki,WAGON R FX,2019,4250000,6/1/2023
Registered,suzuki,WAGON R FX,2019,4550000,7/1/2023
Registered,suzuki,WAGON R FX,2019,4850000,8/1/2023
Registered,suzuki,WAGON R FX,2019,4950000,9/1/2023
Registered,suzuki,WAGON R FX,2019,5000000,10/1/2023
Registered,suzuki,WAGON R FX,2019,5100000,11/1/2023
Registered,suzuki,WAGON R FX,2019,5300000,12/1/2023
Registered,suzuki,WAGON R FX,2019,5500000,1/1/2024
Registered,suzuki,WAGON R FX,2019,5600000,2/1/2024
Registered,suzuki,WAGON R FX,2019,5700000,3/1/2024
Registered,suzuki,WAGON R FX,2019,5800000,4/1/2024
Registered,suzuki,WAGON R FX,2019,5600000,5/1/2024
Registered,suzuki,WAGON R FX,2019,5900000,6/1/2024
Registered,suzuki,WAGON R FX,2019,5950000,7/1/2024
Registered,suzuki,WAGON R FX,2019,6000000,8/1/2024
Registered,suzuki,WAGON R FX,2019,6050000,9/1/2024
Registered,suzuki,WAGON R FX,2019,6050000,10/1/2024
Registered,suzuki,WAGON R FX,2019,5950000,11/1/2024
Registered,suzuki,WAGON R FX,2019,5800000,12/1/2024
Registered,suzuki,WAGON R FX,2019,5600000,1/1/2025
Registered,suzuki,WAGON R FX,2019,5500000,2/1/2025
Registered,suzuki,WAGON R FX,2019,5200000,3/1/2025
Registered,suzuki,WAGON R FX,2019,5350000,4/1/2025
Registered,suzuki,WAGON R FX,2019,5600000,5/1/2025
Registered,suzuki,WAGON R FX,2019,6000000,6/1/2025
Registered,suzuki,WAGON R FX,2019,6100000,7/1/2025
Registered,suzuki,WAGON R FX,2019,6200000,8/1/2025
Registered,suzuki,WAGON R FX,2019,5900000,9/1/2025
Registered,suzuki,WAGON R FX,2019,5600000,10/1/2025
Registered,suzuki,Wagon R FZ,2015,2450000,7/1/2020
Registered,suzuki,Wagon R FZ,2015,2600000,8/1/2020
Registered,suzuki,Wagon R FZ,2015,2800000,9/1/2020
Registered,suzuki,Wagon R FZ,2015,2750000,10/1/2020
Registered,suzuki,Wagon R FZ,2015,2790000,11/1/2020
Registered,suzuki,Wagon R FZ,2015,2790000,12/1/2020
Registered,suzuki,Wagon R FZ,2015,2855000,1/1/2021
Registered,suzuki,Wagon R FZ,2015,2905000,2/1/2021
Registered,suzuki,Wagon R FZ,2015,2945000,3/1/2021
Registered,suzuki,Wagon R FZ,2015,2995000,4/1/2021
Registered,suzuki,Wagon R FZ,2015,3020000,5/1/2021
Registered,suzuki,Wagon R FZ,2015,3100000,6/1/2021
Registered,suzuki,Wagon R FZ,2015,3350000,7/1/2021
Registered,suzuki,Wagon R FZ,2015,4250000,8/1/2021
Registered,suzuki,Wagon R FZ,2015,4250000,9/1/2021
Registered,suzuki,Wagon R FZ,2015,4250000,10/1/2021
Registered,suzuki,Wagon R FZ,2015,4150000,11/1/2021
Registered,suzuki,Wagon R FZ,2015,4200000,12/1/2021
Registered,suzuki,Wagon R FZ,2015,4450000,1/1/2022
Registered,suzuki,Wagon R FZ,2015,4750000,2/1/2022
Registered,suzuki,Wagon R FZ,2015,5000000,3/1/2022
Registered,suzuki,Wagon R FZ,2015,5050000,4/1/2022
Registered,suzuki,Wagon R FZ,2015,4950000,5/1/2022
Registered,suzuki,Wagon R FZ,2015,4950000,6/1/2022
Registered,suzuki,Wagon R FZ,2015,4900000,7/1/2022
Registered,suzuki,Wagon R FZ,2015,4300000,8/1/2022
Registered,suzuki,Wagon R FZ,2015,4200000,9/1/2022
Registered,suzuki,Wagon R FZ,2015,3850000,10/1/2022
Registered,suzuki,Wagon R FZ,2015,3800000,11/1/2022
Registered,suzuki,Wagon R FZ,2015,3775000,12/1/2022
Registered,suzuki,Wagon R FZ,2015,3700000,1/1/2023
Registered,suzuki,Wagon R FZ,2015,3750000,2/1/2023
Registered,suzuki,Wagon R FZ,2015,3850000,3/1/2023
Registered,suzuki,Wagon R FZ,2015,3825000,4/1/2023
Registered,suzuki,Wagon R FZ,2015,3775000,5/1/2023
Registered,suzuki,Wagon R FZ,2015,3750000,6/1/2023
Registered,suzuki,Wagon R FZ,2015,4000000,7/1/2023
Registered,suzuki,Wagon R FZ,2015,4300000,8/1/2023
Registered,suzuki,Wagon R FZ,2015,4500000,9/1/2023
Registered,suzuki,Wagon R FZ,2015,4550000,10/1/2023
Registered,suzuki,Wagon R FZ,2015,4650000,11/1/2023
Registered,suzuki,Wagon R FZ,2015,4850000,12/1/2023
Registered,suzuki,Wagon R FZ,2015,5100000,1/1/2024
Registered,suzuki,Wagon R FZ,2015,5400000,2/1/2024
Registered,suzuki,Wagon R FZ,2015,5500000,3/1/2024
Registered,suzuki,Wagon R FZ,2015,5600000,4/1/2024
Registered,suzuki,Wagon R FZ,2015,5400000,5/1/2024
Registered,suzuki,Wagon R FZ,2015,5600000,6/1/2024
Registered,suzuki,Wagon R FZ,2015,5600000,7/1/2024
Registered,suzuki,Wagon R FZ,2015,5650000,8/1/2024
Registered,suzuki,Wagon R FZ,2015,5750000,9/1/2024
Registered,suzuki,Wagon R FZ,2015,5750000,10/1/2024
Registered,suzuki,Wagon R FZ,2015,5600000,11/1/2024
Registered,suzuki,Wagon R FZ,2015,5400000,12/1/2024
Registered,suzuki,Wagon R FZ,2015,5150000,1/1/2025
Registered,suzuki,Wagon R FZ,2015,5000000,2/1/2025
Registered,suzuki,Wagon R FZ,2015,4700000,3/1/2025
Registered,suzuki,Wagon R FZ,2015,4800000,4/1/2025
Registered,suzuki,Wagon R FZ,2015,5100000,5/1/2025
Registered,suzuki,Wagon R FZ,2015,5400000,6/1/2025
Registered,suzuki,Wagon R FZ,2015,5600000,7/1/2025
Registered,suzuki,Wagon R FZ,2015,5700000,8/1/2025
Registered,suzuki,Wagon R FZ,2015,5400000,9/1/2025
Registered,suzuki,Wagon R FZ,2015,5200000,10/1/2025
Registered,suzuki,Wagon R FZ,2016,2600000,7/1/2020
Registered,suzuki,Wagon R FZ,2016,2750000,8/1/2020
Registered,suzuki,Wagon R FZ,2016,2862500,9/1/2020
Registered,suzuki,Wagon R FZ,2016,2812500,10/1/2020
Registered,suzuki,Wagon R FZ,2016,2852500,11/1/2020
Registered,suzuki,Wagon R FZ,2016,2852500,12/1/2020
Registered,suzuki,Wagon R FZ,2016,2917500,1/1/2021
Registered,suzuki,Wagon R FZ,2016,2965000,2/1/2021
Registered,suzuki,Wagon R FZ,2016,3005000,3/1/2021
Registered,suzuki,Wagon R FZ,2016,3055000,4/1/2021
Registered,suzuki,Wagon R FZ,2016,3082500,5/1/2021
Registered,suzuki,Wagon R FZ,2016,3287500,6/1/2021
Registered,suzuki,Wagon R FZ,2016,3537500,7/1/2021
Registered,suzuki,Wagon R FZ,2016,4437500,8/1/2021
Registered,suzuki,Wagon R FZ,2016,4375000,9/1/2021
Registered,suzuki,Wagon R FZ,2016,4375000,10/1/2021
Registered,suzuki,Wagon R FZ,2016,4350000,11/1/2021
Registered,suzuki,Wagon R FZ,2016,4400000,12/1/2021
Registered,suzuki,Wagon R FZ,2016,4650000,1/1/2022
Registered,suzuki,Wagon R FZ,2016,4950000,2/1/2022
Registered,suzuki,Wagon R FZ,2016,5200000,3/1/2022
Registered,suzuki,Wagon R FZ,2016,5250000,4/1/2022
Registered,suzuki,Wagon R FZ,2016,5075000,5/1/2022
Registered,suzuki,Wagon R FZ,2016,5075000,6/1/2022
Registered,suzuki,Wagon R FZ,2016,5025000,7/1/2022
Registered,suzuki,Wagon R FZ,2016,4425000,8/1/2022
Registered,suzuki,Wagon R FZ,2016,4325000,9/1/2022
Registered,suzuki,Wagon R FZ,2016,3975000,10/1/2022
Registered,suzuki,Wagon R FZ,2016,3925000,11/1/2022
Registered,suzuki,Wagon R FZ,2016,3900000,12/1/2022
Registered,suzuki,Wagon R FZ,2016,3825000,1/1/2023
Registered,suzuki,Wagon R FZ,2016,3875000,2/1/2023
Registered,suzuki,Wagon R FZ,2016,3975000,3/1/2023
Registered,suzuki,Wagon R FZ,2016,3950000,4/1/2023
Registered,suzuki,Wagon R FZ,2016,3900000,5/1/2023
Registered,suzuki,Wagon R FZ,2016,3875000,6/1/2023
Registered,suzuki,Wagon R FZ,2016,4125000,7/1/2023
Registered,suzuki,Wagon R FZ,2016,4425000,8/1/2023
